Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,DIC Quality Comment,TALK_interpolated
1,1,054.0 056.0,19-4903CR-HY-060-0930-05400560-0000A-3,0.0,10.5,33.44,,25.649,,,,3,1.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,0.0,10.5,10.5,33.44,25.64,233.0,0.0,,,,,,,,,,0,,,,,,,,,
1,2,054.0 056.0,19-4903CR-HY-060-0930-05400560-0008A-3,8.0,10.46,33.44,,25.656,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,8.0,10.46,10.46,33.44,25.65,232.5,0.01,,,,,,,,,,8,,,,,,,,,
1,3,054.0 056.0,19-4903CR-HY-060-0930-05400560-0010A-7,10.0,10.46,33.437,,25.654,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,10.0,10.46,10.46,33.437,25.65,232.8,0.02,,,,,,,,,,10,,,,,,,,,
1,4,054.0 056.0,19-4903CR-HY-060-0930-05400560-0019A-3,19.0,10.45,33.42,,25.643,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,19.0,10.45,10.45,33.42,25.64,234.1,0.04,,,,,,,,,,19,,,,,,,,,
1,5,054.0 056.0,19-4903CR-HY-060-0930-05400560-0020A-7,20.0,10.45,33.421,,25.643,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,20.0,10.45,10.45,33.421,25.64,234.0,0.04,,,,,,,,,,20,,,,,,,,,
1,6,054.0 056.0,19-4903CR-HY-060-0930-05400560-0030A-7,30.0,10.45,33.431,,25.651,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,30.0,10.45,10.45,33.431,25.65,233.5,0.07,,,,,,,,,,30,,,,,,,,,
1,7,054.0 056.0,19-4903CR-HY-060-0930-05400560-0039A-3,39.0,10.45,33.44,,25.658,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,39.0,10.45,10.45,33.44,25.65,233.0,0.09,,,,,,,,,,39,,,,,,,,,
1,8,054.0 056.0,19-4903CR-HY-060-0930-05400560-0050A-7,50.0,10.24,33.424,,25.682,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,50.0,10.24,10.23,33.424,25.68,231.0,0.11,,,,,,,,,,50,,,,,,,,,
1,9,054.0 056.0,19-4903CR-HY-060-0930-05400560-0058A-3,58.0,10.06,33.42,,25.71,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,58.0,10.06,10.05,33.42,25.71,228.5,0.13,,,,,,,,,,58,,,,,,,,,
1,10,054.0 056.0,19-4903CR-HY-060-0930-05400560-0075A-7,75.0,9.86,33.494,,25.801,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,75.0,9.86,9.85,33.494,25.8,220.1,0.17,,,,,,,,,,75,,,,,,,,,
1,11,054.0 056.0,19-4903CR-HY-060-0930-05400560-0078A-3,78.0,9.83,33.51,,25.819,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,78.0,9.83,9.82,33.51,25.81,218.6,0.18,,,,,,,,,,78,,,,,,,,,
1,12,054.0 056.0,19-4903CR-HY-060-0930-05400560-0100A-7,100.0,9.67,33.58,,25.9,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,100.0,9.67,9.66,33.58,25.9,211.2,0.22,,,,,,,,,,101,,,,,,,,,
1,13,054.0 056.0,19-4903CR-HY-060-0930-05400560-0117A-3,117.0,9.5,33.64,,25.975,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,117.0,9.5,9.49,33.64,25.97,204.5,0.26,,,,,,,,,,118,,,,,,,,,
1,14,054.0 056.0,19-4903CR-HY-060-0930-05400560-0125A-7,125.0,9.32,33.689,,26.043,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,125.0,9.32,9.31,33.689,26.04,198.2,0.27,,,,,,,,,,126,,,,,,,,,
1,15,054.0 056.0,19-4903CR-HY-060-0930-05400560-0150A-7,150.0,8.76,33.847,,26.256,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,150.0,8.76,8.74,33.847,26.25,178.3,0.32,,,,,,,,,,151,,,,,,,,,
1,16,054.0 056.0,19-4903CR-HY-060-0930-05400560-0152A-3,152.0,8.71,33.86,,26.274,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,152.0,8.71,8.69,33.86,26.27,176.7,0.32,,,,,,,,,,153,,,,,,,,,
1,17,054.0 056.0,19-4903CR-HY-060-0930-05400560-0200A-7,200.0,8.53,33.876,,26.315,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,200.0,8.53,8.51,33.876,26.31,173.6,0.41,,,,,,,,,,201,,,,,,,,,2384.08
1,19,054.0 056.0,19-4903CR-HY-060-0930-05400560-0250A-7,250.0,8.26,33.926,,26.396,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,250.0,8.26,8.23,33.926,26.39,166.8,0.49,,,,,,,,,,252,,,,,,,,,2387.03
1,20,054.0 056.0,19-4903CR-HY-060-0930-05400560-0285A-3,285.0,7.96,33.98,,26.483,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,285.0,7.96,7.93,33.98,26.48,158.9,0.55,,,,,,,,,,287,,,,,,,,,2390.3
1,21,054.0 056.0,19-4903CR-HY-060-0930-05400560-0300A-7,300.0,7.77,33.99,,26.519,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,300.0,7.77,7.74,33.99,26.51,155.7,0.57,,,,,,,,,,302,,,,,,,,,2392.25
1,22,054.0 056.0,19-4903CR-HY-060-0930-05400560-0373A-3,373.0,6.8,34.04,,26.695,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,373.0,6.8,6.77,34.04,26.69,139.6,0.68,,,,,,,,,,376,,,,,,,,,2402.2
1,23,054.0 056.0,19-4903CR-HY-060-0930-05400560-0400A-7,400.0,6.55,34.056,,26.741,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,400.0,6.55,6.51,34.056,26.74,135.4,0.72,,,,,,,,,,403,,,,,,,,,2404.7799999999997
1,24,054.0 056.0,19-4903CR-HY-060-0930-05400560-0500A-7,500.0,5.78,34.113,,26.885,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,500.0,5.78,5.74,34.113,26.88,122.4,0.85,,,,,,,,,,504,,,,,,,,,2412.765
1,25,054.0 056.0,19-4903CR-HY-060-0930-05400560-0598A-3,598.0,5.3,34.16,,26.98,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,598.0,5.3,5.25,34.16,26.98,114.0,0.96,,,,,,,,,,603,,,,,,,,,2417.8
1,26,054.0 056.0,19-4903CR-HY-060-0930-05400560-0600A-7,600.0,5.29,34.161,,26.982,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,600.0,5.29,5.24,34.161,26.98,113.9,0.97,,,,,,,,,,605,,,,,,,,,2417.9049999999997
1,27,054.0 056.0,19-4903CR-HY-060-0930-05400560-0700A-7,700.0,5.01,34.21,,27.054,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,700.0,5.01,4.95,34.21,27.05,107.8,1.08,,,,,,,,,,706,,,,,,,,,2420.9500000000003
1,28,054.0 056.0,19-4903CR-HY-060-0930-05400560-0800A-7,800.0,4.72,34.261,,27.128,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,800.0,4.72,4.66,34.261,27.12,101.5,1.18,,,,,,,,,,807,,,,,,,,,2424.105
1,29,054.0 056.0,19-4903CR-HY-060-0930-05400560-0896A-3,896.0,4.44,34.31,,27.198,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,896.0,4.44,4.37,34.31,27.19,95.4,1.28,,,,,,,,,,904,,,,,,,,,2427.15
2,30,052.0 075.0,19-4903CR-HY-060-2112-05200750-0000B-3,0.0,10.1,32.95,,25.335,,,,3,1.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,0.0,10.1,10.1,32.95,25.33,262.9,0.0,,,,,,,,,,0,,,,,,,,,
2,31,052.0 075.0,19-4903CR-HY-060-2112-05200750-0010A-3,10.0,9.89,32.94,,25.363,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,10.0,9.89,9.89,32.94,25.36,260.5,0.02,,,,,,,,,,10,,,,,,,,,
2,32,052.0 075.0,19-4903CR-HY-060-2112-05200750-0020A-7,20.0,9.75,32.939,,25.385,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,20.0,9.75,9.75,32.939,25.38,258.6,0.05,,,,,,,,,,20,,,,,,,,,
2,33,052.0 075.0,19-4903CR-HY-060-2112-05200750-0024A-3,24.0,9.69,32.95,,25.404,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,24.0,9.69,9.69,32.95,25.4,256.9,0.06,,,,,,,,,,24,,,,,,,,,
2,34,052.0 075.0,19-4903CR-HY-060-2112-05200750-0030A-7,30.0,9.52,33.013,,25.48,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,30.0,9.52,9.52,33.013,25.48,249.7,0.07,,,,,,,,,,30,,,,,,,,,
2,35,052.0 075.0,19-4903CR-HY-060-2112-05200750-0047A-3,47.0,9.06,33.24,,25.732,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,47.0,9.06,9.05,33.24,25.73,226.1,0.11,,,,,,,,,,47,,,,,,,,,
2,36,052.0 075.0,19-4903CR-HY-060-2112-05200750-0050A-7,50.0,9.04,33.272,,25.76,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,50.0,9.04,9.03,33.272,25.76,223.5,0.12,,,,,,,,,,50,,,,,,,,,
2,37,052.0 075.0,19-4903CR-HY-060-2112-05200750-0071A-3,71.0,8.92,33.46,,25.926,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,71.0,8.92,8.91,33.46,25.92,208.1,0.17,,,,,,,,,,71,,,,,,,,,
2,38,052.0 075.0,19-4903CR-HY-060-2112-05200750-0075A-7,75.0,8.83,33.488,,25.962,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,75.0,8.83,8.82,33.488,25.96,204.7,0.17,,,,,,,,,,75,,,,,,,,,
2,39,052.0 075.0,19-4903CR-HY-060-2112-05200750-0094A-3,94.0,8.37,33.6,,26.121,,,,3,2.0,,2.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,94.0,8.37,8.36,33.6,26.12,189.9,0.21,,,,,,,,,,95,,,,,,,,,
2,40,052.0 075.0,19-4903CR-HY-060-2112-05200750-0100A-7,100.0,8.26,33.631,,26.162,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,100.0,8.26,8.25,33.631,26.16,186.1,0.22,,,,,,,,,,101,,,,,,,,,
2,41,052.0 075.0,19-4903CR-HY-060-2112-05200750-0125A-7,125.0,7.85,33.745,,26.312,,,,7,2.0,,3.0,,9,9.0,,9.0,,9,,9,,9.0,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,125.0,7.85,7.84,33.745,26.31,172.2,0.27,,,,,,,,,,126,,,,,,,,,
